arm,cudnn_benchmark,cudnn_deterministic,cudnn_allow_tf32,matmul_allow_tf32,use_det_algos,cudnn_enabled,amp,enr_len,tracker,gpu,rep,seed,loss_step1,grad_sum_step1,loss_step2,weight_sum_after,sec,gpu_name,pid,torch,cudnn
smoke2,True,False,True,False,False,True,False,vary,none,1,0,42,49.331382751464844,-14096.260616716067,49.628807067871094,10493.992982117721,3.7,NVIDIA GeForce RTX 3090,72694,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,1,1,42,49.333248138427734,-14115.563940223818,51.78778839111328,10493.740859113637,2.67,NVIDIA GeForce RTX 3090,75431,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,3,1,42,49.332359313964844,-14106.027730963495,51.78809356689453,10493.536306870608,2.63,NVIDIA GeForce RTX 3090,75433,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,0,1,42,49.331382751464844,-14096.283139151936,51.80695343017578,10493.992918356595,2.5,NVIDIA GeForce RTX 3090,75430,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,2,1,42,49.332359313964844,-14107.16338041216,51.792415618896484,10493.519295149186,2.8,NVIDIA GeForce RTX 3090,75432,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,2,2,42,49.332359313964844,-14107.177522596736,51.801292419433594,10493.519295112621,2.77,NVIDIA GeForce RTX 3090,77196,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,0,2,42,49.332359313964844,-14107.17813471915,51.80181121826172,10493.519295169708,2.91,NVIDIA GeForce RTX 3090,77194,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,3,2,42,49.332359313964844,-14107.17780357018,51.80022430419922,10493.519295095399,2.8,NVIDIA GeForce RTX 3090,77197,2.7.1+cu128,90701
base,True,False,True,False,False,True,False,335,none,1,2,42,49.332359313964844,-14107.177983628128,51.80657196044922,10493.51929506472,2.41,NVIDIA GeForce RTX 3090,77195,2.7.1+cu128,90701
bm_off,False,False,True,False,False,True,False,335,none,1,1,42,49.32976150512695,-13757.86629781146,51.87268829345703,10494.723130203389,2.46,NVIDIA GeForce RTX 3090,78607,2.7.1+cu128,90701
bm_off,False,False,True,False,False,True,False,335,none,2,1,42,49.32976150512695,-13757.866222890285,51.858192443847656,10494.723130171698,2.44,NVIDIA GeForce RTX 3090,78608,2.7.1+cu128,90701
bm_off,False,False,True,False,False,True,False,335,none,3,1,42,49.32976150512695,-13757.866194817429,51.86681365966797,10494.723130162687,2.4,NVIDIA GeForce RTX 3090,78609,2.7.1+cu128,90701
bm_off,False,False,True,False,False,True,False,335,none,0,1,42,49.32976150512695,-13757.866242408943,51.86297607421875,10494.723130162429,2.5,NVIDIA GeForce RTX 3090,78606,2.7.1+cu128,90701
bm_off,False,False,True,False,False,True,False,335,none,0,2,42,49.32976150512695,-13757.866232374874,51.87381362915039,10494.723130173732,2.18,NVIDIA GeForce RTX 3090,80119,2.7.1+cu128,90701
