run,profiler_step,t_spk,new_t_spk,step_ms,gpu_idle_pct,reserved_min_gib,reserved_max_gib
sdfilm-base,105,374,True,932.6,53.3,1.87,21.46
sdfilm-base,106,728,True,930.9,50.3,1.87,20.9
sdfilm-base,107,347,False,590.8,29.3,20.9,20.9
sdfilm-base,108,392,True,934.5,53.2,1.93,21.46
sdfilm-base,109,342,True,936.0,53.5,1.87,21.46
sdfilm-base,110,724,True,915.1,49.8,1.87,20.9
sdfilm-base,111,615,True,927.4,51.2,1.93,21.46
sdfilm-base,112,389,True,929.2,52.7,1.93,21.46
sdfilm-base,113,312,True,952.5,54.8,1.93,21.46
sdfilm-base,114,750,True,994.8,54.0,1.94,21.46
film-base,105,500,False,570.7,27.4,19.96,21.38
film-base,106,388,False,561.3,26.9,21.38,21.38
film-base,107,388,False,562.5,26.9,21.38,21.38
film-base,108,351,True,911.5,52.7,3.27,21.38
film-base,109,370,True,887.4,51.1,3.28,20.02
film-base,110,399,True,897.5,51.4,3.26,20.02
film-base,111,477,True,994.5,55.9,3.27,20.07
film-base,112,313,True,1134.0,61.9,3.27,20.07
film-base,113,435,True,880.4,50.5,3.27,20.07
film-base,114,467,True,877.9,50.0,3.27,20.51
