step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,129.74569288408384,342,48000,296.72314453125,3278.0,2875.27685546875,0,128,46
1,24.202823519706726,884,48000,299.12646484375,20308.0,2800.87353515625,0,164,47
2,0.867439498193562,508,48000,297.29833984375,20246.0,2866.70166015625,0,199,81
3,0.7696799957193434,343,48000,296.72412109375,20358.0,4319.27587890625,0,234,116
4,0.9283450460061431,337,48000,296.72412109375,20358.0,2871.27587890625,0,269,151
5,0.8049564734101295,583,48000,297.65673828125,20358.0,2868.34326171875,0,302,184
6,0.7648722035810351,299,48000,296.71630859375,20804.0,2811.28369140625,0,336,218
7,0.7962632263079286,367,48000,296.72412109375,20246.0,2809.27587890625,0,367,249
8,4.058130190707743,534,48000,461.16064453125,20438.0,2858.83935546875,0,495,281
9,0.9177888752892613,492,48000,460.96337890625,21000.0,2809.03662109375,0,551,335
10,0.7931737527251244,315,48000,460.46728515625,20440.0,2805.53271484375,0,598,383
11,0.8209616909734905,352,48000,460.45947265625,20440.0,2813.54052734375,0,647,432
12,0.834058762062341,555,48000,461.26318359375,20440.0,2810.73681640625,0,692,477
13,0.887322602327913,500,48000,460.99462890625,20440.0,2875.00537109375,0,738,523
14,0.9806717806495726,347,48000,460.46728515625,21000.0,2811.53271484375,0,785,569
15,0.8082113810814917,394,48000,460.48486328125,20440.0,2817.51513671875,0,831,616
16,0.8900447390042245,354,48000,460.45947265625,20440.0,2809.54052734375,0,874,659
17,0.9253013450652361,756,48000,462.24462890625,20440.0,2811.75537109375,0,921,706
18,0.8102330002002418,460,48000,460.79931640625,20440.0,2871.20068359375,0,966,751
19,0.9682818306609988,373,48000,460.46728515625,21000.0,2815.53271484375,0,1015,799
20,0.8137745349667966,298,48000,460.46728515625,20442.0,2813.53271484375,0,1060,844
21,0.8565697302110493,388,48000,460.45947265625,20440.0,2815.54052734375,0,1105,890
22,0.8898154008202255,314,48000,460.46728515625,20442.0,2819.53271484375,0,1150,934
23,1.1021440913900733,414,48000,460.58251953125,20442.0,2883.41748046875,0,1193,977
24,0.49827204970642924,315,48000,461.341796875,21894.0,4328.658203125,0,1194,977
25,0.8140369462780654,401,48000,460.51123046875,21002.0,2813.48876953125,0,1241,1024
26,0.49102157074958086,352,48000,460.46728515625,21002.0,2881.53271484375,0,1241,1024
27,1.3725087861530483,321,48000,460.46728515625,20506.0,2881.53271484375,0,1285,1069
28,0.8507142709568143,371,48000,460.46728515625,20556.0,4329.53271484375,0,1330,1113
29,0.8563518831506371,368,48000,460.46728515625,20556.0,2875.53271484375,0,1377,1160
30,0.9022118337452412,396,48000,460.48681640625,20556.0,2881.51318359375,0,1425,1208
31,0.8416589349508286,306,48000,460.46728515625,21002.0,2809.53271484375,0,1470,1253
32,0.852604809217155,382,48000,460.46728515625,20442.0,2881.53271484375,0,1518,1302
33,0.4921106109395623,347,48000,460.46728515625,21894.0,4325.53271484375,0,1519,1302
34,0.49388276878744364,460,48000,461.50634765625,21894.0,4326.49365234375,0,1519,1302
35,0.8531068782322109,494,48000,461.49853515625,20556.0,4332.50146484375,0,1567,1350
36,0.8086327258497477,345,48000,460.45947265625,21002.0,2813.54052734375,0,1612,1395
37,0.8104451741091907,312,48000,460.46728515625,20442.0,2883.53271484375,0,1658,1442
38,1.0291025857441127,311,48000,460.46728515625,20556.0,4335.53271484375,0,1702,1485
39,0.834980137180537,557,48000,461.27294921875,20554.0,2882.72705078125,0,1745,1529
40,0.4835475152358413,321,48000,460.46728515625,20554.0,2881.53271484375,0,1745,1529
41,0.8283229270018637,379,48000,460.45947265625,20504.0,2873.54052734375,0,1788,1573
42,0.5441638538613915,347,48000,460.45947265625,20506.0,2879.54052734375,0,1789,1573
43,0.8289056769572198,456,48000,460.78759765625,21000.0,2815.21240234375,0,1834,1618
44,0.4948252779431641,414,48000,460.57470703125,21002.0,2883.42529296875,0,1835,1618
45,0.4852191428653896,352,48000,460.45947265625,21002.0,2877.54052734375,0,1835,1618
46,0.9357898482121527,301,48000,460.45947265625,20504.0,2873.54052734375,0,1880,1665
47,0.8534528911113739,458,48000,460.79736328125,21000.0,2811.20263671875,0,1928,1712
48,0.8674360197037458,328,48000,460.46728515625,20442.0,2875.53271484375,0,1975,1759
49,0.823131606914103,324,48000,460.46728515625,20556.0,4335.53271484375,0,2023,1806
50,1.799905535299331,843,48000,463.56884765625,20554.0,2876.43115234375,0,2066,1850
51,0.4912863150238991,557,48000,461.28076171875,20554.0,2872.71923828125,0,2066,1850
52,0.8413720899261534,322,48000,460.45947265625,20556.0,2877.54052734375,0,2115,1898
53,0.8693860089406371,308,48000,460.46728515625,21002.0,2819.53271484375,0,2162,1945
54,0.9563989192247391,625,48000,461.60498046875,20442.0,2816.39501953125,0,2205,1989
55,0.81121348682791,580,48000,461.38525390625,20442.0,2816.61474609375,0,2249,2033
56,0.8093438791111112,360,48000,460.46728515625,20442.0,2879.53271484375,0,2293,2077
57,0.8115559667348862,446,48000,460.73876953125,20554.0,4327.26123046875,0,2338,2122
58,0.488604789134115,343,48000,460.466796875,20554.0,2881.533203125,0,2338,2122
59,0.8397829248569906,461,48000,460.80419921875,20554.0,2877.19580078125,0,2382,2166
60,0.8441347582265735,340,48000,460.45947265625,21002.0,2815.54052734375,0,2429,2212
61,0.8247467176988721,333,48000,460.46728515625,20440.0,2875.53271484375,0,2473,2258
62,0.8025906514376402,378,48000,460.46728515625,20556.0,4335.53271484375,0,2521,2304
63,0.8168730498291552,376,48000,460.46728515625,20554.0,2875.53271484375,0,2564,2348
64,0.8154331319965422,600,48000,461.48291015625,20554.0,2878.51708984375,0,2611,2395
65,0.9055608678609133,650,48000,461.73486328125,21002.0,2812.26513671875,0,2657,2440
66,0.8208687142468989,310,48000,460.46728515625,20442.0,2883.53271484375,0,2703,2487
67,0.49256613478064537,379,48000,460.46728515625,21894.0,4329.53271484375,0,2704,2487
68,0.858065758831799,365,48000,460.45947265625,20556.0,4343.54052734375,0,2751,2534
69,0.49700548918917775,306,48000,460.46728515625,20556.0,2881.53271484375,0,2751,2534
70,0.9861723589710891,336,48000,460.45947265625,20506.0,2881.54052734375,0,2795,2579
71,0.4905199580825865,401,48000,460.51904296875,20506.0,2875.48095703125,0,2795,2579
72,0.7989056478254497,664,48000,461.80322265625,20556.0,2880.19677734375,0,2843,2626
73,0.826290428172797,330,48000,460.46728515625,20556.0,2873.53271484375,0,2888,2671
74,0.8195978379808366,437,48000,460.68701171875,20554.0,2881.31298828125,0,2936,2720
75,0.8843490621075034,406,48000,460.53564453125,21000.0,2813.46435546875,0,2980,2764
76,0.5057478160597384,458,48000,460.78955078125,21000.0,2877.21044921875,0,2980,2764
