step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,131.03588163806126,342,48000,296.01025390625,404.0,0.0,0,158,43
1,22.69997732108459,884,48000,298.65771484375,20052.0,0.0,0,216,54
2,3.5953901009634137,508,48000,296.82177734375,21232.0,0.0,0,272,68
3,6.220530152786523,343,48000,296.01611328125,20272.0,0.0,0,321,80
4,2.4157968242652714,337,48000,295.98681640625,20172.0,0.0,0,372,93
5,3.0375629388727248,583,48000,297.18798828125,19992.0,0.0,0,429,110
6,2.2434853091835976,299,48000,295.80126953125,20092.0,0.0,0,478,124
7,2.690687656868249,367,48000,296.13330078125,20032.0,0.0,0,526,135
8,4.535775403026491,534,48000,460.69189453125,21426.0,0.0,0,676,149
9,4.721395502798259,492,48000,460.48681640625,20286.0,0.0,0,746,160
10,2.415897961240262,315,48000,459.62255859375,20608.0,0.0,0,813,172
11,2.3853930686600506,352,48000,459.80322265625,20288.0,0.0,0,876,186
12,2.471730842255056,555,48000,460.79443359375,20228.0,0.0,0,941,200
13,2.3868653108365834,500,48000,460.52587890625,20288.0,0.0,0,1004,216
14,3.0559977600350976,347,48000,459.77880859375,20608.0,0.0,0,1067,229
15,3.2791560399346054,394,48000,460.00830078125,20468.0,0.0,0,1132,241
16,2.523650893010199,354,48000,459.81298828125,20368.0,0.0,0,1198,253
17,1.9795701000839472,756,48000,461.77587890625,20288.0,0.0,0,1263,266
18,2.763827278278768,460,48000,460.33056640625,20608.0,0.0,0,1328,279
19,2.572870705742389,373,48000,459.90576171875,20290.0,0.0,0,1393,294
20,2.4603469069115818,298,48000,459.53955078125,20608.0,0.0,0,1457,308
21,2.174061045050621,388,48000,459.97900390625,20290.0,0.0,0,1523,323
22,2.1811881768517196,314,48000,459.61767578125,20608.0,0.0,0,1587,336
23,2.6446270584128797,414,48000,460.10595703125,20290.0,0.0,0,1652,349
24,0.5662164059467614,315,48000,459.62255859375,21150.0,0.0,0,1653,349
25,2.257187966722995,401,48000,460.04248046875,20608.0,0.0,0,1723,363
26,0.5315791880711913,352,48000,459.80322265625,21070.0,0.0,0,1725,363
27,2.7482158592902124,321,48000,459.65185546875,20170.0,0.0,0,1794,374
28,2.1993587468750775,371,48000,459.89599609375,20290.0,0.0,0,1860,385
29,2.550915386993438,368,48000,459.88134765625,20230.0,0.0,0,1922,396
30,2.3999253027141094,396,48000,460.01806640625,21510.0,0.0,0,1991,408
31,2.5247942791320384,306,48000,459.57861328125,20190.0,0.0,0,2056,419
32,3.494434821885079,382,48000,459.94970703125,20470.0,0.0,0,2123,430
33,0.49128855112940073,347,48000,459.77880859375,20470.0,0.0,0,2123,430
34,0.4900945331901312,460,48000,460.33056640625,21410.0,0.0,0,2124,430
35,2.140779913868755,494,48000,460.49658203125,20450.0,0.0,0,2191,442
36,2.015502972062677,345,48000,459.76904296875,20610.0,0.0,0,2258,454
37,2.689192763995379,312,48000,459.60791015625,20288.0,0.0,0,2323,466
38,2.044394812081009,311,48000,459.60302734375,20230.0,0.0,0,2387,478
39,1.828895851969719,557,48000,460.80419921875,21430.0,0.0,0,2456,490
40,0.4828377957455814,321,48000,459.65185546875,21430.0,0.0,0,2456,490
41,2.1393173239193857,379,48000,459.93505859375,21390.0,0.0,0,2523,503
42,0.5028874762356281,347,48000,459.77880859375,21390.0,0.0,0,2523,503
43,2.2795047480612993,456,48000,460.31103515625,20390.0,0.0,0,2594,516
44,0.4987046029418707,414,48000,460.10595703125,20910.0,0.0,0,2595,516
45,0.6021157000213861,352,48000,459.80322265625,21550.0,0.0,0,2596,516
46,2.4172546970658004,301,48000,459.55419921875,20470.0,0.0,0,2665,527
47,1.4920442360453308,458,48000,460.32080078125,20370.0,0.0,0,2733,540
48,1.4683112618513405,328,48000,459.68603515625,20470.0,0.0,0,2800,552
49,1.451296477112919,324,48000,459.66650390625,20368.0,0.0,0,2864,565
50,1.4848344479687512,843,48000,462.20068359375,20288.0,0.0,0,2933,582
51,0.48402510583400726,557,48000,460.80419921875,21168.0,0.0,0,2934,582
52,1.5065383273176849,322,48000,459.65673828125,20290.0,0.0,0,3000,595
53,1.755048711784184,308,48000,459.58837890625,20470.0,0.0,0,3065,608
54,1.4620875241234899,625,48000,461.13623046875,20370.0,0.0,0,3138,625
55,1.4950612960383296,580,48000,460.91650390625,20190.0,0.0,0,3204,639
56,1.427988396026194,360,48000,459.84228515625,20288.0,0.0,0,3269,653
57,1.4463695189915597,446,48000,460.26220703125,20230.0,0.0,0,3333,665
58,0.4777054865844548,343,48000,459.75927734375,21070.0,0.0,0,3334,665
59,1.4702249350957572,461,48000,460.33544921875,20608.0,0.0,0,3402,679
60,1.4277945579960942,340,48000,459.74462890625,20468.0,0.0,0,3467,691
61,1.6189773380756378,333,48000,459.71044921875,20370.0,0.0,0,3533,704
62,1.628898423165083,378,48000,459.93017578125,20468.0,0.0,0,3596,715
63,1.7543086498044431,376,48000,459.92041015625,20370.0,0.0,0,3662,727
64,1.5023821908980608,600,48000,461.01416015625,20190.0,0.0,0,3727,739
65,1.634140968322754,650,48000,461.25830078125,20470.0,0.0,0,3794,751
66,1.4736044150777161,310,48000,459.59814453125,20390.0,0.0,0,3860,762
67,0.48517310759052634,379,48000,459.93505859375,21790.0,0.0,0,3861,762
68,1.4888936732895672,365,48000,459.86669921875,20230.0,0.0,0,3925,775
69,0.48408143874257803,306,48000,459.57861328125,20830.0,0.0,0,3927,775
70,1.5622658762149513,336,48000,459.72509765625,20308.0,0.0,0,3990,787
71,0.4900323608890176,401,48000,460.04248046875,20690.0,0.0,0,3993,787
72,1.4802427180111408,664,48000,461.32666015625,20450.0,0.0,0,4060,799
73,1.4443268310278654,330,48000,459.69580078125,20470.0,0.0,0,4126,812
74,1.5751115498133004,437,48000,460.21826171875,20170.0,0.0,0,4195,825
75,2.637510563246906,406,48000,460.06689453125,20470.0,0.0,0,4261,840
76,0.4896537121385336,458,48000,460.32080078125,20470.0,0.0,0,4261,840
77,1.7013993170112371,316,48000,459.62744140625,20830.0,0.0,0,4327,853
78,1.542732599657029,448,48000,460.27197265625,20290.0,0.0,0,4394,867
79,1.533646103926003,440,48000,460.23291015625,20290.0,0.0,0,4457,881
80,0.49511849507689476,414,48000,460.10595703125,21130.0,0.0,0,4458,881
81,1.6595176011323929,463,48000,460.34521484375,20290.0,0.0,0,4526,893
82,0.4844960612244904,321,48000,459.65185546875,20790.0,0.0,0,4527,893
83,1.3680696678347886,404,48000,460.05712890625,20250.0,0.0,0,4594,904
84,1.3828118070960045,411,48000,460.09130859375,20290.0,0.0,0,4662,915
85,2.0136846248060465,532,48000,460.68212890625,20250.0,0.0,0,4729,928
86,1.4255561958998442,530,48000,460.67236328125,21430.0,0.0,0,4798,942
87,0.4864810090512037,378,48000,459.93017578125,21430.0,0.0,0,4798,942
88,0.49215494096279144,343,48000,459.75927734375,21430.0,0.0,0,4798,942
89,1.496643953025341,444,48000,460.25244140625,20410.0,0.0,0,4864,955
90,1.464234929997474,536,48000,460.70166015625,20570.0,0.0,0,4930,969
91,1.3861211761832237,659,48000,461.30224609375,20290.0,0.0,0,5001,986
92,1.4656575401313603,447,48000,460.26708984375,20230.0,0.0,0,5069,1000
93,1.6804178967140615,1068,48000,463.29931640625,21450.0,0.0,0,5136,1014
94,0.48014986887574196,312,48000,459.60791015625,21450.0,0.0,0,5136,1014
95,1.4289248553104699,439,48000,460.22802734375,20290.0,0.0,0,5204,1031
96,1.4669195311143994,550,48000,460.77001953125,20230.0,0.0,0,5268,1045
97,0.4851509518921375,460,48000,460.33056640625,21030.0,0.0,0,5270,1045
98,0.48379101511090994,315,48000,459.62255859375,21270.0,0.0,0,5271,1045
99,1.8656134186312556,427,48000,460.16943359375,20410.0,0.0,0,5339,1059
100,0.5957917221821845,500,48000,460.52587890625,20410.0,0.0,0,5339,1059
101,1.5745397051796317,409,48000,460.08154296875,20208.0,0.0,0,5407,1073
102,0.5192458438687027,337,48000,459.72998046875,21048.0,0.0,0,5408,1073
103,1.6467851609922945,390,48000,459.98876953125,20230.0,0.0,0,5474,1085
104,1.7618878241628408,391,48000,459.99365234375,20470.0,0.0,0,5542,1096
