step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,102.43610407179222,342,48000,296.72314453125,3278.0,2875.27685546875,0,128,46
1,6.434695843141526,884,48000,299.126953125,20308.0,2800.873046875,0,164,47
2,0.8069912292994559,508,48000,304.537109375,20246.0,2793.462890625,0,199,81
3,0.8081661378964782,343,48000,303.962890625,20244.0,2796.037109375,0,235,118
4,0.8131121909245849,337,48000,303.970703125,20246.0,2866.029296875,0,271,153
5,0.7879250859841704,583,48000,304.9111328125,20360.0,2865.0888671875,0,304,185
6,0.8264751918613911,299,48000,303.962890625,20360.0,2864.037109375,0,337,218
7,0.7660569469444454,367,48000,303.970703125,20804.0,2802.029296875,0,370,252
8,1.0251154373399913,534,48000,468.4072265625,20438.0,2787.5927734375,0,498,284
9,0.8511079177260399,492,48000,468.2021484375,20440.0,2797.7978515625,0,553,338
10,0.8577781389467418,315,48000,467.7138671875,20440.0,2858.2861328125,0,602,387
11,0.972865850199014,352,48000,467.7138671875,20554.0,2860.2861328125,0,654,438
12,0.8760396940633655,555,48000,468.509765625,20554.0,2867.490234375,0,705,489
13,0.8877218076959252,500,48000,468.2412109375,21000.0,2799.7587890625,0,752,536
14,0.8022723561152816,347,48000,467.7060546875,20440.0,2802.2939453125,0,800,585
15,0.8590597682632506,394,48000,467.8857421875,20440.0,2864.1142578125,0,847,632
16,0.9208279917947948,354,48000,467.7138671875,20554.0,2864.2861328125,0,896,680
17,1.190085698850453,756,48000,469.4912109375,20554.0,2866.5087890625,0,945,729
18,0.8688867744058371,460,48000,468.0458984375,21000.0,2799.9541015625,0,992,776
19,0.8960569566115737,373,48000,467.7060546875,20440.0,2800.2939453125,0,1040,825
20,0.92154550133273,298,48000,467.7138671875,20440.0,2862.2861328125,0,1088,873
21,0.9133512726984918,388,48000,467.7138671875,20554.0,2864.2861328125,0,1138,922
22,0.829407649114728,314,48000,467.7138671875,20554.0,2870.2861328125,0,1187,971
