step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,130.126052392181,521,48000,298.38037109375,1908.0,1503.61962890625,0,133,51
1,26.505762921180576,455,48000,298.05126953125,21778.0,1493.94873046875,0,171,52
2,0.8788435119204223,299,48000,297.74365234375,21782.0,1434.25634765625,0,210,89
3,0.8339424189180136,450,48000,298.05126953125,21204.0,1495.94873046875,0,245,126
4,0.8313755840063095,311,48000,297.74365234375,21782.0,1436.25634765625,0,283,162
5,3.8185028629377484,662,48000,299.06201171875,21206.0,1500.93798828125,0,318,198
6,0.8441548962146044,541,48000,298.47119140625,21778.0,1435.52880859375,0,351,232
7,1.0575844338163733,418,48000,462.31298828125,21400.0,1487.68701171875,0,483,266
8,0.8980914847925305,391,48000,462.30517578125,21974.0,1437.69482421875,0,540,323
9,0.8805686221458018,466,48000,462.50732421875,21400.0,1495.49267578125,0,589,372
10,1.0983272641897202,373,48000,462.14599609375,21974.0,1429.85400390625,0,641,424
11,0.8550625410862267,336,48000,462.14599609375,21402.0,1497.85400390625,0,695,477
12,0.8513190257363021,504,48000,462.69287109375,21976.0,1435.30712890625,0,747,529
13,0.8705602181144059,372,48000,462.13818359375,21402.0,1497.86181640625,0,798,580
14,0.842569830827415,315,48000,462.14599609375,21976.0,1441.85400390625,0,850,632
15,0.49527072394266725,315,48000,462.14599609375,21976.0,989.85400390625,0,850,632
16,1.202830158174038,394,48000,462.31298828125,21962.0,1439.68701171875,0,902,683
17,0.8937282538972795,434,48000,462.45361328125,21402.0,1499.54638671875,0,951,733
18,0.8938803751952946,316,48000,462.14599609375,21976.0,1441.85400390625,0,1002,784
19,0.9647040879353881,486,48000,462.61279296875,21402.0,1503.38720703125,0,1050,832
20,1.0788370361551642,347,48000,462.14599609375,21976.0,1437.85400390625,0,1099,881
21,0.9237386509776115,586,48000,463.10107421875,21402.0,1500.89892578125,0,1149,931
22,1.2293065809644759,326,48000,462.13818359375,21978.0,1443.86181640625,0,1200,981
23,0.8767026020213962,352,48000,462.14599609375,21914.0,1441.85400390625,0,1248,1029
24,0.9410251947119832,378,48000,462.14599609375,21402.0,1503.85400390625,0,1296,1078
25,0.8740292363800108,688,48000,463.59130859375,21978.0,1442.40869140625,0,1346,1127
26,0.8796800076961517,358,48000,462.13818359375,21404.0,1511.86181640625,0,1394,1175
27,0.8377073020674288,335,48000,462.14599609375,21978.0,1443.85400390625,0,1440,1221
28,0.8884205548092723,421,48000,462.30517578125,21912.0,1443.69482421875,0,1487,1269
29,0.9080576170235872,565,48000,462.99072265625,21402.0,2891.00927734375,0,1534,1316
30,0.4983700611628592,315,48000,462.13818359375,21402.0,1503.86181640625,0,1534,1316
31,1.0888198660686612,666,48000,463.48388671875,21976.0,1438.51611328125,0,1583,1365
32,1.007019529119134,330,48000,462.13818359375,21402.0,2891.86181640625,0,1632,1414
33,0.5014467067085207,347,48000,462.13818359375,21402.0,1499.86181640625,0,1632,1414
34,0.49872805224731565,330,48000,462.14599609375,21404.0,1503.85400390625,0,1633,1414
35,0.8518297420814633,313,48000,462.13818359375,21978.0,1443.86181640625,0,1683,1464
36,0.9002182697877288,322,48000,462.13818359375,21404.0,1505.86181640625,0,1731,1512
37,0.8337054802104831,325,48000,462.13818359375,21978.0,1441.86181640625,0,1780,1561
38,0.8691798970103264,463,48000,462.49267578125,21914.0,1449.50732421875,0,1829,1610
39,1.0238619446754456,507,48000,463.1455078125,21402.0,2890.8544921875,0,1873,1655
40,0.8426893372088671,552,48000,462.93505859375,21976.0,1439.06494140625,0,1922,1704
41,0.8828793871216476,739,48000,463.84033203125,21402.0,1504.15966796875,0,1971,1753
42,0.8679181695915759,369,48000,462.13818359375,21976.0,1437.86181640625,0,2019,1801
43,1.5761274602264166,324,48000,462.14599609375,21912.0,1433.85400390625,0,2069,1851
44,0.9698122879490256,602,48000,463.17138671875,21402.0,1500.82861328125,0,2121,1903
45,0.8577927760779858,334,48000,462.14599609375,21976.0,1441.85400390625,0,2171,1953
46,0.5317721040919423,330,48000,462.14599609375,21976.0,1507.85400390625,0,2171,1953
47,0.8846267960034311,508,48000,462.71240234375,21976.0,2889.28759765625,0,2218,2000
48,0.905604355968535,318,48000,462.13818359375,21402.0,1505.86181640625,0,2268,2050
49,0.49893899308517575,486,48000,462.60498046875,21402.0,1503.39501953125,0,2268,2050
50,1.0677348128519952,356,48000,462.14599609375,21976.0,1439.85400390625,0,2317,2099
51,0.8869804837740958,317,48000,462.13818359375,21402.0,1503.86181640625,0,2366,2148
52,0.9023767113685608,419,48000,462.30517578125,21976.0,1441.69482421875,0,2415,2197
53,0.8814152027480304,715,48000,463.73095703125,21402.0,1500.26904296875,0,2463,2245
54,0.8604439939372241,540,48000,462.86865234375,21976.0,1439.13134765625,0,2513,2295
55,0.9947152743116021,409,48000,462.30517578125,21402.0,1503.69482421875,0,2562,2344
56,0.9529548366554081,379,48000,462.14599609375,21976.0,1437.85400390625,0,2612,2394
57,0.9128689072094858,452,48000,462.46142578125,21912.0,1437.53857421875,0,2662,2444
58,0.49398884177207947,313,48000,462.13818359375,21912.0,1437.86181640625,0,2662,2444
59,0.8944081850349903,511,48000,463.1455078125,21402.0,2890.8544921875,0,2712,2494
60,0.8308627302758396,329,48000,462.14599609375,21976.0,1439.85400390625,0,2761,2543
61,0.5000539938919246,317,48000,462.13818359375,21978.0,1507.86181640625,0,2762,2543
62,0.8760718130506575,303,48000,462.13818359375,21978.0,1445.86181640625,0,2810,2591
63,1.0152264847420156,380,48000,462.13818359375,21404.0,1507.86181640625,0,2857,2638
64,1.025796180125326,302,48000,462.14599609375,21976.0,1445.85400390625,0,2904,2686
65,0.9417734160088003,735,48000,463.82080078125,21404.0,1506.17919921875,0,2951,2732
66,0.8655883600004017,522,48000,462.78076171875,21978.0,1437.21923828125,0,2999,2780
67,0.8592632291838527,319,48000,462.14599609375,21404.0,1511.85400390625,0,3050,2831
68,0.49686161894351244,379,48000,462.13818359375,21404.0,1503.86181640625,0,3050,2831
69,0.9247062117792666,571,48000,463.02001953125,21976.0,1438.97998046875,0,3099,2881
70,0.49679415998980403,352,48000,462.14599609375,21978.0,1439.85400390625,0,3100,2881
71,0.8932960699312389,660,48000,463.46240234375,21404.0,1500.53759765625,0,3150,2931
72,0.8815748570486903,343,48000,462.13818359375,21978.0,1447.86181640625,0,3201,2982
73,0.858886931091547,310,48000,462.14599609375,21914.0,1443.85400390625,0,3247,3028
74,0.49409638391807675,356,48000,462.13818359375,21914.0,1507.86181640625,0,3247,3028
75,1.0061258631758392,653,48000,463.42041015625,21978.0,2892.57958984375,0,3295,3076
76,0.8511159727349877,447,48000,462.45361328125,21404.0,1507.54638671875,0,3344,3125
77,0.49579451233148575,336,48000,462.13818359375,21404.0,1507.86181640625,0,3344,3125
78,0.8404093398712575,320,48000,462.14599609375,21978.0,1447.85400390625,0,3392,3173
79,0.8801901112310588,514,48000,462.74951171875,21914.0,2835.25048828125,0,3438,3219
80,1.0316471047699451,457,48000,462.47119140625,21404.0,1443.52880859375,0,3484,3265
81,0.49792568990960717,455,48000,462.46142578125,21404.0,1445.53857421875,0,3484,3265
82,0.9150437200441957,570,48000,463.01513671875,21404.0,1502.98486328125,0,3531,3312
83,0.9331325832754374,341,48000,462.13818359375,21976.0,1445.86181640625,0,3580,3362
84,0.9178982856683433,699,48000,463.64501953125,21402.0,1500.35498046875,0,3626,3408
85,0.490726460237056,320,48000,462.14599609375,21404.0,1505.85400390625,0,3627,3408
86,0.8384119346737862,487,48000,462.61767578125,21978.0,1445.38232421875,0,3676,3457
87,0.8565283981151879,485,48000,462.60009765625,21914.0,1435.39990234375,0,3723,3504
88,0.49463164526969194,485,48000,462.60009765625,21914.0,2825.39990234375,0,3723,3504
89,0.4900498120114207,317,48000,462.13818359375,21914.0,1503.86181640625,0,3723,3504
90,0.8956621997058392,763,48000,463.96533203125,21976.0,1436.03466796875,0,3772,3554
91,1.0750154443085194,337,48000,462.14599609375,21404.0,1511.85400390625,0,3823,3604
92,0.8915552967227995,424,48000,462.30517578125,21978.0,1437.69482421875,0,3869,3650
93,0.8916817968711257,328,48000,462.14599609375,21402.0,1505.85400390625,0,3919,3701
94,1.0519670289941132,554,48000,462.93701171875,21976.0,1437.06298828125,0,3967,3749
95,0.49181254114955664,409,48000,462.31298828125,21978.0,1439.68701171875,0,3968,3749
96,0.8630759501829743,594,48000,463.14013671875,21912.0,1440.85986328125,0,4018,3800
97,0.8553803218528628,592,48000,463.12255859375,21402.0,1436.87744140625,0,4066,3848
98,0.4939748072065413,316,48000,462.13818359375,21402.0,1507.86181640625,0,4066,3848
99,0.8436249396763742,333,48000,462.13818359375,21976.0,1501.86181640625,0,4113,3895
100,0.6117714429274201,485,48000,462.60791015625,21976.0,1437.39208984375,0,4113,3895
101,1.299391474109143,385,48000,462.13818359375,21402.0,1433.86181640625,0,4163,3945
102,0.5450684833340347,409,48000,462.30517578125,21402.0,1501.69482421875,0,4163,3945
103,0.9137060455977917,539,48000,462.86376953125,21976.0,1433.13623046875,0,4213,3995
104,0.5384248429909348,452,48000,462.45361328125,21978.0,2829.54638671875,0,4214,3995
105,0.9330227780155838,374,48000,462.14599609375,21402.0,2827.85400390625,0,4262,4044
