step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,130.2721103890799,521,48000,297.87255859375,526.0,0.0,0,161,54
1,26.413025408051908,455,48000,297.55126953125,21512.0,0.0,0,227,64
2,6.391978394705802,299,48000,296.78955078125,20374.0,0.0,0,284,75
3,2.293748808093369,450,48000,297.52685546875,20352.0,0.0,0,339,88
4,2.936030922923237,311,48000,296.84814453125,20534.0,0.0,0,393,99
5,2.5581628549844027,662,48000,298.56201171875,21452.0,0.0,0,447,112
6,3.339226281270385,541,48000,297.97119140625,20452.0,0.0,0,503,130
7,5.114727566018701,418,48000,461.77294921875,21728.0,0.0,0,654,145
8,3.7980103925801814,391,48000,461.64111328125,21748.0,0.0,0,734,157
9,2.217736229300499,466,48000,462.00732421875,20550.0,0.0,0,808,171
10,2.6093287537805736,373,48000,461.55322265625,20570.0,0.0,0,881,186
11,2.603224605321884,336,48000,461.37255859375,21690.0,0.0,0,950,203
12,2.820844791829586,504,48000,462.19287109375,20570.0,0.0,0,1017,218
13,3.5831848131492734,372,48000,461.54833984375,20732.0,0.0,0,1085,236
14,2.233496476896107,315,48000,461.27001953125,21652.0,0.0,0,1153,253
15,0.497086675837636,315,48000,461.27001953125,21992.0,0.0,0,1154,253
16,2.5182419130578637,394,48000,461.65576171875,20730.0,0.0,0,1224,267
17,3.0124869062565267,434,48000,461.85107421875,21750.0,0.0,0,1293,283
18,2.5315650878474116,316,48000,461.27490234375,20732.0,0.0,0,1362,300
19,2.650211933068931,486,48000,462.10498046875,20552.0,0.0,0,1434,315
20,2.554604157805443,347,48000,461.42626953125,20732.0,0.0,0,1504,330
21,2.1271754382178187,586,48000,462.59326171875,20552.0,0.0,0,1574,345
22,2.5149783408269286,326,48000,461.32373046875,20572.0,0.0,0,1643,360
23,2.4612131929025054,352,48000,461.45068359375,20732.0,0.0,0,1713,374
24,2.893241682089865,378,48000,461.57763671875,21710.0,0.0,0,1782,389
25,2.141108763869852,688,48000,463.09130859375,20592.0,0.0,0,1850,405
26,2.306634829379618,358,48000,461.47998046875,20730.0,0.0,0,1917,419
27,2.2862432007677853,335,48000,461.36767578125,21710.0,0.0,0,1984,432
28,2.6265866472385824,421,48000,461.78759765625,20552.0,0.0,0,2055,447
29,2.4481343049556017,565,48000,462.49072265625,20572.0,0.0,0,2130,464
30,0.6793244709260762,315,48000,461.27001953125,21952.0,0.0,0,2132,464
31,3.3204222731292248,666,48000,462.98388671875,21712.0,0.0,0,2200,480
32,2.1637354409322143,330,48000,461.34326171875,21732.0,0.0,0,2269,494
33,0.5064614396542311,347,48000,461.42626953125,21732.0,0.0,0,2269,494
34,0.5046764411963522,330,48000,461.34326171875,21732.0,0.0,0,2269,494
35,2.659313559997827,313,48000,461.26025390625,20712.0,0.0,0,2343,508
36,2.0512138810008764,322,48000,461.30419921875,20830.0,0.0,0,2411,523
37,1.7493307599797845,325,48000,461.31884765625,21712.0,0.0,0,2479,539
38,2.2461269358173013,463,48000,461.99267578125,20572.0,0.0,0,2551,556
39,1.8856448512524366,507,48000,462.20751953125,20570.0,0.0,0,2619,571
40,2.255673054140061,552,48000,462.42724609375,20550.0,0.0,0,2688,588
41,2.3994347536936402,739,48000,463.34033203125,20592.0,0.0,0,2759,603
42,1.4586400850676,369,48000,461.53369140625,20552.0,0.0,0,2829,620
43,1.4376363069750369,324,48000,461.31396484375,20550.0,0.0,0,2899,634
44,1.5028781709261239,602,48000,462.67138671875,20572.0,0.0,0,2971,650
