step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,103.83639497682452,521,48000,298.38037109375,1908.0,1503.61962890625,0,132,50
1,6.649567146319896,455,48000,298.0517578125,21778.0,1493.9482421875,0,170,51
2,0.8529278649948537,299,48000,302.8955078125,21782.0,1427.1044921875,0,210,89
3,0.9561411226168275,450,48000,303.1865234375,21716.0,2812.8134765625,0,248,128
4,0.9215912004001439,311,48000,302.8955078125,21718.0,1431.1044921875,0,288,167
5,0.9875319888815284,662,48000,304.2216796875,21204.0,1495.7783203125,0,322,203
6,0.8611179948784411,541,48000,303.630859375,21780.0,1430.369140625,0,356,236
7,1.1386492792516947,418,48000,467.45703125,21400.0,1484.54296875,0,488,271
8,1.0502035319805145,391,48000,467.46484375,21976.0,1490.53515625,0,545,327
9,0.8641899507492781,466,48000,467.6591796875,21976.0,1428.3408203125,0,599,381
10,0.8464306951500475,373,48000,467.2900390625,21402.0,1494.7099609375,0,651,433
11,0.8539502150379121,336,48000,467.2900390625,21978.0,1496.7099609375,0,703,484
12,0.8617098638787866,504,48000,467.8447265625,21976.0,1502.1552734375,0,753,535
13,0.8673246158286929,372,48000,467.2900390625,21976.0,1430.7099609375,0,800,582
14,1.0471979971043766,315,48000,467.2900390625,21402.0,2890.7099609375,0,851,633
15,0.4871411141939461,315,48000,467.2978515625,21404.0,1498.7021484375,0,852,633
16,0.8619071738794446,394,48000,467.46484375,21978.0,1442.53515625,0,902,683
17,1.0712112141773105,434,48000,467.5107421875,21914.0,1434.4892578125,0,948,729
18,0.8631670218892395,316,48000,467.2978515625,21914.0,1438.7021484375,0,998,779
19,0.9705583527684212,486,48000,467.7568359375,21914.0,1440.2431640625,0,1046,827
20,0.8693280341103673,347,48000,467.2978515625,21404.0,2890.7021484375,0,1093,874
21,0.9345445139333606,586,48000,468.2451171875,21978.0,1435.7548828125,0,1141,922
22,0.9204244031570852,326,48000,467.2900390625,21404.0,1502.7099609375,0,1191,972
23,0.8676683860830963,352,48000,467.2900390625,21978.0,1502.7099609375,0,1239,1020
24,0.89791698474437,378,48000,467.2900390625,21978.0,1502.7099609375,0,1287,1068
