step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,105.15202318597585,521,48000,298.38037109375,1908.0,1503.61962890625,0,132,50
1,6.884846749249846,455,48000,298.0517578125,21778.0,1493.9482421875,0,170,51
2,0.8668451267294586,299,48000,302.8955078125,21782.0,1427.1044921875,0,210,89
3,0.8459142749197781,450,48000,303.1865234375,21716.0,2812.8134765625,0,248,128
4,0.9431611513718963,311,48000,302.8955078125,21718.0,1431.1044921875,0,288,167
5,0.9018985279835761,662,48000,304.2216796875,21204.0,1495.7783203125,0,322,203
6,0.9255117848515511,541,48000,303.623046875,21780.0,1430.376953125,0,356,236
7,1.1621573870070279,418,48000,467.46484375,21400.0,1484.53515625,0,488,271
8,0.9314048667438328,391,48000,467.46484375,21976.0,1426.53515625,0,545,327
9,0.8518737582489848,466,48000,467.6669921875,21912.0,1428.3330078125,0,599,381
10,0.8417819808237255,373,48000,467.2978515625,21402.0,1494.7021484375,0,651,433
11,0.8664220981299877,336,48000,467.2900390625,21978.0,1494.7099609375,0,703,484
12,0.928670440800488,504,48000,467.8447265625,21978.0,1498.1552734375,0,755,536
13,1.0967378984205425,372,48000,467.2978515625,21978.0,1498.7021484375,0,805,586
14,0.9637016127817333,315,48000,467.2978515625,21978.0,1438.7021484375,0,855,636
15,0.4981701890937984,315,48000,467.2900390625,21978.0,1438.7099609375,0,855,636
16,0.852214926853776,394,48000,467.45703125,21404.0,2890.54296875,0,903,684
17,0.8650341499596834,434,48000,467.5029296875,21978.0,1438.4970703125,0,951,732
18,0.9692577552050352,316,48000,467.2900390625,21404.0,1502.7099609375,0,999,780
19,0.9541033757850528,486,48000,467.7568359375,21978.0,1436.2431640625,0,1047,828
20,0.8552433340810239,347,48000,467.2900390625,21404.0,1508.7099609375,0,1096,877
21,0.9424220519140363,586,48000,468.2529296875,21978.0,1439.7470703125,0,1141,922
22,0.8693240541033447,326,48000,467.2900390625,21914.0,1440.7099609375,0,1188,969
23,0.8789738109335303,352,48000,467.2900390625,21404.0,2886.7099609375,0,1235,1016
24,0.9867273410782218,378,48000,467.2900390625,21978.0,1438.7099609375,0,1285,1066
25,0.9032483878545463,688,48000,468.7431640625,21404.0,2887.2568359375,0,1332,1113
26,1.070995463989675,358,48000,467.2900390625,21978.0,2886.7099609375,0,1381,1162
27,0.8492476721294224,335,48000,467.2900390625,21404.0,2886.7099609375,0,1431,1212
28,0.8485018941573799,421,48000,467.46484375,21978.0,1434.53515625,0,1481,1262
29,0.9110093857161701,565,48000,468.150390625,21404.0,1497.849609375,0,1531,1312
30,0.5038456520996988,315,48000,467.2900390625,21404.0,1498.7099609375,0,1531,1312
31,0.9968799171037972,666,48000,468.6357421875,21978.0,1503.3642578125,0,1581,1362
32,0.9567345837131143,330,48000,467.2900390625,21978.0,1496.7099609375,0,1628,1409
33,0.4960485021583736,347,48000,467.2978515625,21978.0,1500.7021484375,0,1628,1409
34,0.4971920200623572,330,48000,467.2978515625,21978.0,1498.7021484375,0,1628,1409
35,0.8448967188596725,313,48000,467.2900390625,21978.0,1448.7099609375,0,1678,1459
36,0.8581191101111472,322,48000,467.2900390625,21404.0,2886.7099609375,0,1721,1502
37,0.8910454949364066,325,48000,467.2900390625,21978.0,1506.7099609375,0,1771,1552
38,0.9074811120517552,463,48000,467.64453125,21978.0,1430.35546875,0,1817,1598
