step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
0,95.86544174700975,521,48000,298.38037109375,1908.0,1503.61962890625,0,132,50
1,8.67189184203744,455,48000,298.0517578125,21778.0,1493.9482421875,0,170,51
2,0.8358177491463721,299,48000,302.8955078125,21782.0,1427.1044921875,0,210,89
3,0.825654773041606,450,48000,303.1865234375,21716.0,2812.8134765625,0,248,128
4,0.8460211749188602,311,48000,302.8955078125,21718.0,1431.1044921875,0,288,167
5,0.9809442982077599,662,48000,304.2216796875,21204.0,1495.7783203125,0,322,203
6,0.8328102426603436,541,48000,303.630859375,21780.0,1430.369140625,0,356,236
7,1.083036936353892,418,48000,467.45703125,21400.0,1484.54296875,0,488,271
8,0.8536909446120262,391,48000,467.46484375,21976.0,1490.53515625,0,545,327
9,0.8629533322528005,466,48000,467.6591796875,21976.0,1432.3408203125,0,598,380
10,0.885103000793606,373,48000,467.2900390625,21404.0,1494.7099609375,0,649,430
11,0.9465312161482871,336,48000,467.2900390625,21978.0,1498.7099609375,0,701,482
12,0.9324040650390089,504,48000,467.8447265625,21976.0,1438.1552734375,0,750,532
13,0.9148178999312222,372,48000,467.2978515625,21402.0,1494.7021484375,0,797,579
14,0.9151072897948325,315,48000,467.2900390625,21976.0,1496.7099609375,0,848,630
15,0.5300745642744005,315,48000,467.2900390625,21976.0,1496.7099609375,0,848,630
16,0.993115452118218,394,48000,467.46484375,21976.0,1494.53515625,0,898,680
17,0.9138454906642437,434,48000,467.5029296875,21976.0,1432.4970703125,0,949,731
18,0.8634129520505667,316,48000,467.2900390625,21402.0,1500.7099609375,0,999,781
19,0.8484593722969294,486,48000,467.7568359375,21978.0,1434.2431640625,0,1048,829
20,0.8736105780117214,347,48000,467.2900390625,21404.0,1496.7099609375,0,1098,879
21,0.9536455157212913,586,48000,468.2451171875,21976.0,1431.7548828125,0,1148,930
22,1.1786894439719617,326,48000,467.2900390625,21404.0,1500.7099609375,0,1199,980
23,0.8886508271098137,352,48000,467.2900390625,21976.0,1498.7099609375,0,1247,1029
24,0.9423269429244101,378,48000,467.2900390625,21978.0,1496.7099609375,0,1297,1078
25,0.883336934261024,688,48000,468.7509765625,21978.0,1439.2490234375,0,1348,1129
26,0.8594097676686943,358,48000,467.2900390625,21912.0,1436.7099609375,0,1394,1176
27,0.9228373789228499,335,48000,467.2900390625,21402.0,2882.7099609375,0,1442,1224
28,0.9584574811160564,421,48000,467.46484375,21976.0,1432.53515625,0,1493,1275
29,0.9268207838758826,565,48000,468.150390625,21402.0,1495.849609375,0,1543,1325
30,0.5275209983810782,315,48000,467.2900390625,21404.0,1498.7099609375,0,1544,1325
31,1.0884004896506667,666,48000,468.6357421875,21976.0,1495.3642578125,0,1593,1375
32,1.1349213561043143,330,48000,467.2978515625,21978.0,1436.7021484375,0,1644,1425
33,0.506485837046057,347,48000,467.2978515625,21978.0,1432.7021484375,0,1644,1425
34,0.5180899421684444,330,48000,467.2978515625,21978.0,1434.7021484375,0,1644,1425
35,1.0850685248151422,313,48000,467.2900390625,21912.0,1432.7099609375,0,1693,1475
36,1.1526457909494638,322,48000,467.2900390625,21402.0,2886.7099609375,0,1743,1525
37,0.8887399579398334,325,48000,467.2900390625,21978.0,1504.7099609375,0,1793,1574
38,1.1421573059633374,463,48000,467.64453125,21976.0,1428.35546875,0,1839,1621
39,1.2708139973692596,507,48000,467.8671875,21402.0,1498.1328125,0,1892,1674
40,0.8911486649885774,552,48000,468.0791015625,21978.0,1433.9208984375,0,1942,1723
41,0.8942166999913752,739,48000,469.0,21404.0,1505.0,0,1992,1773
42,0.9307016488164663,369,48000,467.2978515625,21978.0,1434.7021484375,0,2038,1819
43,0.9366618222557008,324,48000,467.2900390625,21914.0,1442.7099609375,0,2088,1869
44,1.199409176595509,602,48000,468.3310546875,21404.0,2885.6689453125,0,2134,1915
45,1.0003646831028163,334,48000,467.2900390625,21978.0,1500.7099609375,0,2184,1965
46,0.5354098682291806,330,48000,467.2900390625,21978.0,1500.7099609375,0,2184,1965
47,1.0704104457981884,508,48000,467.8720703125,21978.0,1434.1279296875,0,2233,2014
48,1.1611448009498417,318,48000,467.2900390625,21914.0,1444.7099609375,0,2283,2064
49,0.5272891190834343,486,48000,467.7646484375,21914.0,2820.2353515625,0,2283,2064
50,0.9783943742513657,356,48000,467.2978515625,21402.0,1504.7021484375,0,2333,2115
51,0.9563328339718282,317,48000,467.2900390625,21976.0,1432.7099609375,0,2379,2161
52,0.9125884058885276,419,48000,467.46484375,21402.0,1496.53515625,0,2429,2211
53,0.9829655368812382,715,48000,468.8828125,21978.0,1437.1171875,0,2480,2261
54,1.3150674579665065,540,48000,468.0205078125,21404.0,1499.9794921875,0,2528,2309
55,0.9620746271684766,409,48000,467.45703125,21978.0,1434.54296875,0,2577,2358
56,0.9423894537612796,379,48000,467.2900390625,21404.0,1498.7099609375,0,2627,2408
57,1.046245280187577,452,48000,467.5986328125,21978.0,1440.4013671875,0,2677,2458
58,0.516616583801806,313,48000,467.2978515625,21978.0,1438.7021484375,0,2677,2458
59,1.064663965255022,511,48000,467.87890625,21912.0,1438.12109375,0,2724,2506
60,1.0115582589060068,329,48000,467.2900390625,21404.0,2886.7099609375,0,2772,2553
61,0.5374297448433936,317,48000,467.2900390625,21404.0,990.7099609375,0,2772,2553
62,1.086115166079253,303,48000,467.2978515625,21962.0,1434.7021484375,0,2821,2602
63,1.0133381360210478,380,48000,467.2900390625,21404.0,1498.7099609375,0,2871,2652
64,0.9150679321028292,302,48000,467.2978515625,21978.0,1500.7021484375,0,2921,2702
65,0.9568597450852394,735,48000,468.97265625,21978.0,1431.02734375,0,2970,2751
