tag,cond_key,scope,dynamic,b,t,prec,tf32_lstm,num_repeat,feature_dim,lstm_n,allow_rnn,gpu,compile_s,ms_step_median,ms_step_mean,peak_GiB,graph_break,dynamo_frames,recompile_in_measure,status,error
structure-depth,0193e3741392760c,separator,True,16,48000,fp16-mixed,True,2,128,4,False,1,25.1,299.6,302.9,7.85,4,10,0,ok,
structure-depth,08ee96f6d9ee2d72,separator,True,16,48000,fp16-mixed,True,6,128,12,False,0,14.1,627.1,632.8,19.38,4,10,0,ok,
structure-depth,23939f3e66182baa,separator,True,16,48000,fp16-mixed,True,4,128,8,False,3,25.9,454.4,459.4,13.62,4,10,0,ok,
structure-depth,28d29120eb05b1af,eager,-,16,48000,fp16-mixed,True,6,128,12,False,0,0.0,615.0,620.1,19.38,0,0,0,ok,
structure-depth,41c05d1f9cf48fc7,separator,True,16,48000,fp16-mixed,True,8,128,16,False,1,nan,nan,nan,nan,0,0,0,OOM,
structure-depth,49f1c62d02234d04,eager,-,16,48000,fp16-mixed,True,1,128,2,False,0,0.0,263.4,263.1,4.98,0,0,0,ok,
structure-depth,5054e48d215cdc3b,eager,-,16,48000,fp16-mixed,True,4,128,8,False,3,0.0,475.4,475.4,13.62,0,0,0,ok,
structure-depth,6447c0f6439b6c02,eager,-,16,48000,fp16-mixed,True,2,128,4,False,1,0.0,326.1,329.6,7.86,0,0,0,ok,
structure-depth,9dfda457b1d2bc1a,separator&spk,True,16,48000,fp16-mixed,True,2,128,4,False,1,37.5,297.5,300.9,7.85,4,11,0,ok,
structure-depth,a3f109abbe0f5baf,separator&spk,True,16,48000,fp16-mixed,True,4,128,8,False,3,37.5,452.4,453.2,13.62,4,11,0,ok,
structure-depth,a4532654867861d9,separator&spk,True,16,48000,fp16-mixed,True,1,128,2,False,0,36.8,251.0,254.0,4.97,3,10,0,ok,
structure-depth,aaa0b8d214803ade,separator,True,16,48000,fp16-mixed,True,1,128,2,False,0,24.9,249.8,251.7,4.97,3,9,0,ok,
structure-depth,bd5e4defa606a1b5,separator&spk,True,16,48000,fp16-mixed,True,8,128,16,False,1,nan,nan,nan,nan,0,0,0,OOM,
structure-depth,e948643ac2364b5f,eager,-,16,48000,fp16-mixed,True,8,128,16,False,1,nan,nan,nan,nan,0,0,0,OOM,
structure-width,1a75c9dea725d74a,separator,True,16,48000,fp16-mixed,True,6,256,12,False,3,nan,nan,nan,nan,0,0,0,OOM,
structure-width,28d29120eb05b1af,eager,-,16,48000,fp16-mixed,True,6,128,12,False,1,0.0,596.0,599.7,19.46,0,0,0,ok,
structure-width,c0b6d38415e99b03,eager,-,16,48000,fp16-mixed,True,6,256,12,False,3,nan,nan,nan,nan,0,0,0,OOM,
structure-width,08ee96f6d9ee2d72,separator,True,16,48000,fp16-mixed,True,6,128,12,False,1,27.5,610.0,613.5,19.33,4,10,0,ok,
structure-depth,49aa59649deb9d61,separator&spk,True,16,48000,fp16-mixed,True,6,128,12,False,0,48.3,632.5,635.9,19.38,4,11,0,ok,
structure-allow-rnn,0193e3741392760c,separator,True,16,48000,fp16-mixed,True,2,128,4,False,1,15.2,300.5,304.7,7.85,4,10,0,ok,
structure-width,eb46e52df367387e,eager,-,16,48000,fp16-mixed,True,6,64,12,False,0,0.0,325.9,330.3,10.39,0,0,0,ok,
structure-width,72ffcd6ad83052f7,separator,True,16,48000,fp16-mixed,True,6,64,12,False,0,15.2,329.0,332.8,10.39,4,10,0,ok,
axes-single,c1e1be39c9f68791,separator&spk,True,2,48000,fp16-mixed,True,6,128,12,False,1,39.2,424.6,431.1,2.77,4,11,0,ok,
structure-who,28d29120eb05b1af,eager,-,16,48000,fp16-mixed,True,6,128,12,False,0,0.0,619.6,624.1,19.38,0,0,0,ok,
axes-single,5ad9135d5e3e833c,separator&spk,True,16,48000,fp32,True,6,128,12,False,1,nan,nan,nan,nan,0,0,0,OOM,
