tag,tracker,cudnn_benchmark,cudnn_deterministic,use_det_algos,gpu,rep,gpu_name,pid,torch,cudnn,ep1_train,ep2_train,ep3_train,step1_loss,all_steps,weight_sum_after
smoke,none,True,False,False,0,0,NVIDIA GeForce RTX 3090,32073,2.7.1+cu128,90701,50.561201095581055,,,49.333248138427734,49.333248138427734 51.789154052734375,10514.580072578829
par4,none,True,False,False,2,1,NVIDIA GeForce RTX 3090,35552,2.7.1+cu128,90701,50.018273162841794,51.35228500366211,53.89347915649414,49.332359313964844,49.332359313964844 51.79608917236328 48.803932189941406 52.90261459350586 47.256370544433594 50.849239349365234 49.5025749206543 47.8173713684082 54.56353759765625 54.02870178222656 55.70234680175781 53.28632354736328 56.21839904785156 54.103736877441406 50.15658950805664,9801.384556656412
par4,none,True,False,False,1,1,NVIDIA GeForce RTX 3090,35553,2.7.1+cu128,90701,50.025943756103516,51.31050186157226,54.053443908691406,49.332359313964844,49.332359313964844 51.79759216308594 48.80712127685547 52.92689514160156 47.265750885009766 50.847129821777344 49.502140045166016 47.81460189819336 54.41745376586914 53.97118377685547 55.807350158691406 53.068931579589844 56.635379791259766 54.440425872802734 50.31513214111328,9778.313850077615
par4,none,True,False,False,0,1,NVIDIA GeForce RTX 3090,35550,2.7.1+cu128,90701,50.024871063232425,51.27978744506836,53.84082717895508,49.332359313964844,49.332359313964844 51.80262756347656 48.844024658203125 52.89337921142578 47.2519645690918 50.7805290222168 49.490936279296875 47.742881774902344 54.35139465332031 54.03319549560547 55.797607421875 52.91461181640625 57.85118103027344 53.04715347290039 49.59358215332031,9819.489724248984
par4,none,True,False,False,3,1,NVIDIA GeForce RTX 3090,35555,2.7.1+cu128,90701,50.035448455810545,51.79367446899414,49.888404083251956,49.33146667480469,49.33146667480469 51.82953643798828 48.56291961669922 53.175323486328125 47.27799606323242 51.942134857177734 49.77842330932617 49.94287872314453 53.85054016113281 53.45439529418945 50.23558044433594 49.53096008300781 49.769134521484375 50.660377502441406 49.245967864990234,9999.513420114228
par4,none,True,False,False,3,2,NVIDIA GeForce RTX 3090,36625,2.7.1+cu128,90701,50.01483840942383,50.705397033691405,53.402208709716795,49.332359313964844,49.332359313964844 51.78071212768555 48.76144790649414 52.9318733215332 47.267799377441406 50.93649673461914 49.53130340576172 47.95418930053711 54.473854064941406 50.631141662597656 52.55577087402344 52.76837921142578 51.13079071044922 58.38015365600586 52.17594909667969,10053.570446426605
par4,none,True,False,False,1,2,NVIDIA GeForce RTX 3090,36622,2.7.1+cu128,90701,50.02437210083008,51.28751831054687,54.091252136230466,49.332359313964844,49.332359313964844 51.79974365234375 48.82146453857422 52.9098014831543 47.25849151611328 50.796791076660156 49.49772644042969 47.78874969482422 54.463661193847656 53.890663146972656 55.830299377441406 53.13694763183594 56.81004333496094 54.42815399169922 50.250816345214844,9776.991033649125
par4,none,True,False,False,0,2,NVIDIA GeForce RTX 3090,36623,2.7.1+cu128,90701,50.01335144042969,51.00879821777344,51.35525665283203,49.332359313964844,49.332359313964844 51.79109191894531 48.77247619628906 52.90574645996094 47.26508331298828 50.890625 49.49830627441406 47.89325714111328 54.67747497558594 52.084327697753906 55.675994873046875 52.7495231628418 49.79933547973633 50.10706329345703 48.444366455078125,9951.901222375936
par4,none,True,False,False,2,2,NVIDIA GeForce RTX 3090,36624,2.7.1+cu128,90701,50.074365234375,50.97764511108399,52.36279830932617,49.330509185791016,49.330509185791016 52.009796142578125 48.97356414794922 52.86625671386719 47.19169998168945 50.3515625 49.35723876953125 47.66638946533203 53.00619125366211 54.50684356689453 55.16261291503906 55.3961296081543 51.511260986328125 51.205352783203125 48.53863525390625,9838.780853186896
par4,tensorboard,True,False,False,3,1,NVIDIA GeForce RTX 3090,37625,2.7.1+cu128,90701,50.03590469360351,50.68916015625,53.85116195678711,49.33146667480469,49.33146667480469 51.82560729980469 48.7230224609375 53.02339553833008 47.276031494140625 51.230804443359375 49.62995910644531 48.36021423339844 53.356353759765625 50.86846923828125 52.68455505371094 52.040740966796875 51.774837493896484 58.282447814941406 54.473228454589844,10020.108120119039
par4,tensorboard,True,False,False,2,1,NVIDIA GeForce RTX 3090,37624,2.7.1+cu128,90701,50.031062316894534,51.6231201171875,51.543172454833986,49.333248138427734,49.333248138427734 51.777442932128906 48.526737213134766 53.235958099365234 47.281925201416016 52.12587356567383 49.8465576171875 49.225791931152344 53.66584396362305 53.25153350830078 50.48524856567383 51.414756774902344 52.06555938720703 52.12566375732422 51.6246337890625,10112.680371680895
par4,tensorboard,True,False,False,0,1,NVIDIA GeForce RTX 3090,37622,2.7.1+cu128,90701,50.02036590576172,51.2858024597168,54.1189697265625,49.332359313964844,49.332359313964844 51.796897888183594 48.82099914550781 52.89726257324219 47.254310607910156 50.81062698364258 49.49059295654297 47.77586364746094 54.4114990234375 53.9404296875 55.796546936035156 53.043724060058594 56.86395263671875 54.514312744140625 50.376312255859375,9791.405565455367
par4,tensorboard,True,False,False,1,1,NVIDIA GeForce RTX 3090,37623,2.7.1+cu128,90701,50.0326171875,51.578887939453125,51.06900405883789,49.333248138427734,49.333248138427734 51.7767333984375 48.51655960083008 53.246307373046875 47.29023742675781 52.24095153808594 49.84392547607422 49.04344177246094 53.56773376464844 53.198387145996094 50.69157409667969 50.2952995300293 51.62053680419922 51.787620544433594 50.949989318847656,10105.039572408026
par4,tensorboard,True,False,False,1,2,NVIDIA GeForce RTX 3090,39716,2.7.1+cu128,90701,50.059635925292966,53.37736358642578,51.37359848022461,49.32853698730469,49.32853698730469 51.81850814819336 48.402061462402344 53.434539794921875 47.31453323364258 52.75843811035156 52.92015838623047 50.33742141723633 54.68899917602539 56.181800842285156 52.6013069152832 53.117652893066406 47.06242370605469 52.740684509277344 51.345924377441406,9923.09702937721
par4,tensorboard,True,False,False,0,2,NVIDIA GeForce RTX 3090,39714,2.7.1+cu128,90701,50.01599044799805,51.39132537841797,53.14006118774414,49.332359313964844,49.332359313964844 51.79438018798828 48.77414321899414 52.91780471801758 47.26126480102539 50.87942886352539 49.50604248046875 47.85877227783203 54.60102462768555 54.111358642578125 55.227596282958984 52.606422424316406 51.67251968383789 56.212982177734375 49.98078536987305,9867.543663450777
par4,tensorboard,True,False,False,3,2,NVIDIA GeForce RTX 3090,39718,2.7.1+cu128,90701,50.02379837036133,51.22080535888672,53.75489349365235,49.332359313964844,49.332359313964844 51.797821044921875 48.826690673828125 52.90471267700195 47.257408142089844 50.769126892089844 49.483642578125 47.75409698486328 54.15950012207031 53.937660217285156 55.76354217529297 52.98838424682617 57.636844635009766 53.12230682373047 49.263389587402344,9800.722727529073
par4,tensorboard,True,False,False,2,2,NVIDIA GeForce RTX 3090,39717,2.7.1+cu128,90701,50.02441177368164,51.326315307617186,53.94623947143555,49.332359313964844,49.332359313964844 51.80331039428711 48.79084777832031 52.93681335449219 47.25872802734375 50.85606002807617 49.50725555419922 47.82721710205078 54.5214958190918 53.91954803466797 55.72630310058594 53.31011962890625 56.359130859375 54.216434478759766 50.11920928955078,9799.906829479698
par4,none,False,False,False,2,1,NVIDIA GeForce RTX 3090,42884,2.7.1+cu128,90701,50.15786285400391,51.36167221069336,50.30125503540039,49.32976150512695,49.32976150512695 51.87156677246094 48.1087646484375 54.181209564208984 47.298011779785156 51.70710754394531 49.26447677612305 49.09821319580078 52.89906311035156 53.839500427246094 49.731666564941406 50.20610809326172 51.671566009521484 50.758731842041016 49.13820266723633,9877.780110034173
par4,none,False,False,False,1,1,NVIDIA GeForce RTX 3090,42883,2.7.1+cu128,90701,50.176849365234375,50.570142364501955,53.04633483886719,49.32976150512695,49.32976150512695 51.856056213378906 48.10343933105469 54.2072639465332 47.387725830078125 50.06452178955078 48.806766510009766 47.820892333984375 52.661705017089844 53.496826171875 55.210601806640625 52.3121452331543 51.607398986816406 56.657127380371094 49.444400787353516,9907.72937823869
par4,none,False,False,False,3,1,NVIDIA GeForce RTX 3090,42885,2.7.1+cu128,90701,50.16105270385742,51.3595947265625,53.2922004699707,49.32976150512695,49.32976150512695 51.875301361083984 48.10247039794922 54.19613265991211 47.301597595214844 51.07719802856445 49.04761505126953 48.765403747558594 53.15248489379883 54.755271911621094 57.25810623168945 53.392173767089844 51.389041900634766 54.612457275390625 49.80922317504883,9805.742099294137
par4,none,False,False,False,0,1,NVIDIA GeForce RTX 3090,42881,2.7.1+cu128,90701,50.16255493164063,51.439537811279294,50.25082092285156,49.32976150512695,49.32976150512695 51.86861801147461 48.127838134765625 54.186824798583984 47.29973220825195 51.76778030395508 49.278812408447266 49.04780197143555 52.9705924987793 54.1327018737793 49.761451721191406 50.217994689941406 51.59158706665039 50.72136306762695 48.961708068847656,9881.11387263278
par4,none,False,False,False,2,2,NVIDIA GeForce RTX 3090,45782,2.7.1+cu128,90701,50.17878875732422,50.585713958740236,53.14146041870117,49.32976150512695,49.32976150512695 51.862579345703125 48.099327087402344 54.20635986328125 47.39591598510742 50.12615203857422 48.8151969909668 47.837677001953125 52.57502746582031 53.57451629638672 55.14777374267578 52.53927993774414 51.59278869628906 56.30842208862305 50.11903762817383,9943.446324890656
par4,none,False,False,False,0,2,NVIDIA GeForce RTX 3090,45780,2.7.1+cu128,90701,50.15797576904297,51.115935516357425,51.329026794433595,49.32976150512695,49.32976150512695 51.867637634277344 48.10934066772461 54.17407989501953 47.309059143066406 52.381439208984375 49.418426513671875 48.17131805419922 53.391456604003906 52.217037200927734 50.38372802734375 49.22088623046875 53.06294250488281 52.297576904296875 51.68000030517578,9991.398619748099
par4,none,False,False,False,1,2,NVIDIA GeForce RTX 3090,45781,2.7.1+cu128,90701,50.159158325195314,51.497763061523436,50.07871322631836,49.32976150512695,49.32976150512695 51.863563537597656 48.11660385131836 54.18330383300781 47.30255889892578 51.84844207763672 49.289878845214844 48.9151611328125 53.131980895996094 54.30335235595703 49.69763946533203 50.382850646972656 51.819007873535156 50.013484954833984 48.48058319091797,9897.60645779822
par4,none,False,False,False,3,2,NVIDIA GeForce RTX 3090,45783,2.7.1+cu128,90701,50.15821914672851,51.05119323730469,54.88700714111328,49.32976150512695,49.32976150512695 51.861602783203125 48.10398864746094 54.18537902832031 47.31036376953125 51.391021728515625 49.14207458496094 49.80553436279297 53.86881637573242 51.048519134521484 54.15668869018555 52.176979064941406 54.89842224121094 57.874202728271484 55.32874298095703,9799.760791261731
par4,tensorboard,False,False,False,3,1,NVIDIA GeForce RTX 3090,47924,2.7.1+cu128,90701,50.17024307250976,50.64596710205078,52.50160217285156,49.32976150512695,49.32976150512695 51.85865783691406 48.110923767089844 54.2183952331543 47.33347702026367 50.52900695800781 48.90935516357422 47.96665573120117 52.58003616333008 53.244781494140625 55.424339294433594 52.24504089355469 53.611167907714844 52.39991760253906 48.827545166015625,9884.737821895318
par4,tensorboard,False,False,False,1,1,NVIDIA GeForce RTX 3090,47923,2.7.1+cu128,90701,50.186292266845705,50.912821197509764,52.6867172241211,49.32976150512695,49.32976150512695 51.864585876464844 48.087860107421875 54.207862854003906 47.44139099121094 49.90672302246094 48.79159927368164 47.944549560546875 53.19580078125 54.725433349609375 56.198219299316406 51.886444091796875 50.80226135253906 54.21125030517578 50.335411071777344,9899.195776384091
par4,tensorboard,False,False,False,0,1,NVIDIA GeForce RTX 3090,47922,2.7.1+cu128,90701,50.164990234375,51.023681640625,51.94231948852539,49.32976150512695,49.32976150512695 51.86061477661133 48.111351013183594 54.20603942871094 47.31718444824219 50.83794021606445 48.98448944091797 48.31945037841797 52.89655685424805 54.07997131347656 56.08238983154297 52.380027770996094 51.569419860839844 51.308555603027344 48.3712043762207,9860.499702675801
par4,tensorboard,False,False,False,2,1,NVIDIA GeForce RTX 3090,47925,2.7.1+cu128,90701,50.159699249267575,51.18229217529297,49.89342727661133,49.32976150512695,49.32976150512695 51.86884307861328 48.11505126953125 54.19237518310547 47.29246520996094 51.651329040527344 49.2435188293457 49.475894927978516 52.53174591064453 53.00897216796875 49.534568786621094 50.1563835144043 50.91880798339844 49.879520416259766 48.97785568237305,9888.599620387206
par4,tensorboard,False,False,False,2,2,NVIDIA GeForce RTX 3090,50370,2.7.1+cu128,90701,50.16960067749024,50.608655548095705,53.39683837890625,49.32976150512695,49.32976150512695 51.867469787597656 48.112884521484375 54.20283508300781 47.335052490234375 50.45005798339844 48.89111328125 47.92772674560547 52.55903625488281 53.2153434753418 55.380271911621094 53.18964385986328 52.77073669433594 53.571067810058594 52.072471618652344,9924.291911582011
par4,tensorboard,False,False,False,0,2,NVIDIA GeForce RTX 3090,50367,2.7.1+cu128,90701,50.15955581665039,51.25503082275391,50.02114028930664,49.32976150512695,49.32976150512695 51.865814208984375 48.115814208984375 54.19483184814453 47.29155731201172 51.70106506347656 49.23861312866211 49.37576675415039 52.652320861816406 53.30738830566406 49.63990783691406 50.15691375732422 51.544952392578125 49.92203903198242 48.841888427734375,9902.909876350825
par4,tensorboard,False,False,False,1,2,NVIDIA GeForce RTX 3090,50369,2.7.1+cu128,90701,50.16384506225586,51.2948616027832,52.834329986572264,49.32976150512695,49.32976150512695 51.873573303222656 48.10777282714844 54.19131851196289 47.31679916381836 51.04061508178711 49.02845764160156 48.69573211669922 53.10748291015625 54.602020263671875 56.84098815917969 53.46025085449219 51.70256042480469 53.283660888671875 48.88418960571289,9828.59928904051
par4,tensorboard,False,False,False,3,2,NVIDIA GeForce RTX 3090,50371,2.7.1+cu128,90701,50.15811462402344,51.607373046875,52.21340560913086,49.32976150512695,49.32976150512695 51.86455535888672 48.10052490234375 54.189231872558594 47.30649948120117 51.286598205566406 49.10151672363281 49.29088592529297 53.48971176147461 54.8681526184082 57.87657165527344 53.25498962402344 50.72407531738281 51.73765182495117 47.47373962402344,9903.263312938134
solo,none,True,False,False,0,1,NVIDIA GeForce RTX 3090,53198,2.7.1+cu128,90701,50.01500930786133,51.234336853027344,54.45107727050781,49.332359313964844,49.332359313964844 51.801292419433594 48.800689697265625 52.88497543334961 47.25572967529297 50.75289535522461 49.47883605957031 47.75321578979492 54.23810577392578 53.948631286621094 55.77623748779297 52.99782943725586 57.50282287597656 55.07748031616211 50.90101623535156,9791.492655861166
solo,none,True,False,False,0,2,NVIDIA GeForce RTX 3090,55685,2.7.1+cu128,90701,50.02023010253906,51.386538696289065,53.16790618896484,49.332359313964844,49.332359313964844 51.797271728515625 48.80065155029297 52.90750503540039 47.263362884521484 50.86545944213867 49.505287170410156 47.84149169921875 54.62284851074219 54.09760665893555 55.582733154296875 52.41168975830078 51.08201599121094 55.644020080566406 51.11907196044922,9885.712982360703
solo,none,True,False,False,0,3,NVIDIA GeForce RTX 3090,58233,2.7.1+cu128,90701,50.01464614868164,51.31883010864258,54.08329086303711,49.332359313964844,49.332359313964844 51.786495208740234 48.77997589111328 52.908355712890625 47.26604461669922 50.84300231933594 49.48005676269531 47.825164794921875 54.359840393066406 54.08608627319336 55.822723388671875 52.95802307128906 56.65167236328125 54.454498291015625 50.529537200927734,9777.77876043366
solo,none,True,False,False,0,4,NVIDIA GeForce RTX 3090,60659,2.7.1+cu128,90701,50.032047271728516,51.61930160522461,51.35623550415039,49.333248138427734,49.333248138427734 51.776268005371094 48.52574920654297 53.242286682128906 47.282684326171875 52.174415588378906 49.82900619506836 49.17180633544922 53.68583679199219 53.235443115234375 50.52699279785156 51.0748405456543 51.874786376953125 51.92919921875 51.37535858154297,10118.032290811656
solo,none,False,False,False,0,1,NVIDIA GeForce RTX 3090,63051,2.7.1+cu128,90701,50.19112701416016,51.05830612182617,52.67554473876953,49.32976150512695,49.32976150512695 51.864418029785156 48.094459533691406 54.20797348022461 47.459022521972656 49.914268493652344 48.789615631103516 47.972923278808594 53.44419860839844 55.17052459716797 56.218589782714844 52.786529541015625 51.38353729248047 54.533111572265625 48.455955505371094,9922.198750891748
solo,none,False,False,False,0,2,NVIDIA GeForce RTX 3090,65380,2.7.1+cu128,90701,50.15834350585938,51.1303596496582,51.33359146118164,49.32976150512695,49.32976150512695 51.86725616455078 48.119178771972656 54.172969818115234 47.30255126953125 52.29423522949219 49.40660858154297 48.220394134521484 53.459327697753906 52.27123260498047 50.37038040161133 49.201080322265625 53.113258361816406 52.278350830078125 51.70488739013672,9978.52475208179
solo,none,False,False,False,0,3,NVIDIA GeForce RTX 3090,68022,2.7.1+cu128,90701,50.16433563232422,50.89318161010742,51.96932525634766,49.32976150512695,49.32976150512695 51.8680419921875 48.10381317138672 54.20253372192383 47.317527770996094 50.77118682861328 48.952720642089844 48.207332611083984 52.72819519042969 53.80647277832031 55.795345306396484 51.97026824951172 52.13764190673828 51.09375762939453 48.849613189697266,9839.624325656445
solo,none,False,False,False,0,4,NVIDIA GeForce RTX 3090,70832,2.7.1+cu128,90701,50.16351318359375,51.44967346191406,53.15399322509766,49.32976150512695,49.32976150512695 51.86668395996094 48.11602020263672 54.20476150512695 47.30033874511719 51.12700653076172 49.079734802246094 48.871315002441406 53.29576110839844 54.874549865722656 57.81874084472656 53.27494812011719 51.28960418701172 54.42980194091797 48.956871032714844,9814.198555954763
